"","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Normoxia_rep2","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep1","LNCaP_RNA-Seq_Empty_Vector_Hypoxia_rep2","PC3_RNA-Seq_siCtrl_Normoxia_rep1","PC3_RNA-Seq_siCtrl_Normoxia_rep2","PC3_RNA-Seq_siCtrl_Hypoxia_rep1","PC3_RNA-Seq_siCtrl_Hypoxia_rep2"
"GADL1",0,0,0,0,0,4,1,3
"EHHADH-AS1",21,18,3,7,7,15,6,4
"LPP-AS2",261,269,194,184,7,27,22,7
"H1-10-AS1",115,140,77,85,8,27,12,7
"CCDC158",3,1,35,35,0,1,3,0
"TMPRSS11A",1,0,1,0,0,0,1,0
"LOC339975",0,2,8,8,0,0,0,0
"LRRC66",13,4,11,14,18,51,94,22
"LINC02260",0,0,0,0,0,0,1,0
"NAT8L",869,1322,757,827,27,63,21,11
"LINC02481",64,73,40,41,0,2,1,0
"SLC6A19",20,26,165,194,0,0,0,0
"PRR7-AS1",47,72,64,78,32,76,71,26
"STING1",47,31,26,20,56,173,169,70
"FAM170A",1,0,0,0,0,1,0,0
"LINC02900",0,0,0,0,3,1,1,0
"ARSI",0,0,0,0,69,123,64,23
"LOC340090",2,1,0,1,0,0,0,0
"H3Y2",0,0,0,1,0,0,0,0
"LINC02120",0,0,0,0,0,1,3,0
"ANKRD34B",21,33,7,20,0,0,0,0
"SLC35D3",1,1,0,1,0,1,0,0
"ZC3H12D",5,5,4,6,0,1,3,1
"MYLK4",424,519,503,621,118,348,385,129
"IFITM4P",10,9,6,3,6,9,6,5
"CLPSL1",0,0,0,0,0,0,1,0
"TREML1",0,0,0,0,5,2,2,2
"TREML3P",3,1,2,3,0,0,0,0
"ZNF680",3379,3576,2620,2900,119,374,355,134
"UNCX",0,0,0,1,3,1,1,0
"COL28A1",33,50,43,55,0,3,1,1
"ABCB5",40,45,8,17,0,6,2,1
"FAM221A",173,225,246,292,14,49,23,10
"CFAP144P1",3,3,1,3,0,0,0,0
"CTAGE6",219,232,145,182,2,3,6,1
"TSPAN33",608,913,457,547,136,361,203,86
"AGBL3",328,355,250,266,23,76,47,20
"KLHL38",0,1,0,0,3,5,1,2
"NRBP2",571,574,945,955,142,334,348,160
"ZNF517",92,184,129,166,35,99,118,34
"WDR97",39,45,74,74,9,55,35,21
"CATSPERQ",80,112,84,93,57,137,78,38
"RSPO2",0,1,0,1,0,10,15,6
"ZDHHC21",1845,1925,2041,2437,180,516,444,156
"ACER2",789,885,902,1150,138,323,266,106
"LOC340512",0,0,1,1,4,15,8,1
"LINC01501",2,0,0,0,0,0,0,0
"RTL5",186,305,313,379,18,55,41,10
"NHSL2",49,97,83,63,85,235,140,34
"PABPC1L2A",0,0,0,0,0,1,0,0
"NEXMIF",221,211,613,708,3,6,4,2
"BEX5",22,47,11,15,4,19,13,6
"TCEAL5",36,37,42,46,4,4,3,1
"MORF4L2-AS1",68,72,32,53,7,20,23,5
"VSIG1",3,4,0,7,23,89,85,29
"ZC3H12B",56,45,61,83,3,34,38,12
"SATL1",75,89,60,61,6,18,17,6
"DCAF12L2",0,0,0,0,11,29,22,9
"LINC02243",0,0,0,0,4,10,5,2
"CA5BP1",425,570,539,708,151,345,252,87
"RTL4",3,3,2,8,0,0,1,0
"LHFPL1",12,9,11,9,5,8,10,1
"EZHIP",0,0,0,0,2,4,0,0
"FAM41AY1",3,1,0,0,0,0,0,0
"LIPM",12,18,19,12,18,58,25,8
"CYP26C1",0,0,0,0,0,0,1,1
"VWA2",105,118,73,74,7,10,8,1
"NANOS1",25,68,46,49,15,42,31,15
"HMX3",4,1,4,2,38,68,54,14
"AKR1C8",0,0,0,0,0,0,1,0
"MALRD1",13,23,22,12,1,0,2,2
"EBLN1",0,0,0,0,0,1,0,0
"OR52B6",0,0,3,0,0,0,0,0
"OTOG",0,3,4,4,0,0,0,0
"DCDC1",17,19,27,27,5,18,16,5
"POU2AF2",6,6,2,6,0,0,0,0
"SAE1P1",22,35,9,9,5,15,11,7
"MS4A10",1,3,0,0,2,2,2,0
"OR2AT4",1,0,2,0,1,1,0,0
"HEPHL1",10,14,20,18,52,115,167,37
"OVCH2",1,9,10,11,2,3,3,1
"SMCO2",0,7,4,5,9,19,41,9
"OVCH1",2,0,0,0,0,2,5,2
"SYT10",0,3,0,0,0,0,0,0
"ACSM4",6,6,14,17,0,0,0,0
"H1-7",0,1,0,0,0,0,0,0
"FREM2",3,2,0,0,37,104,53,16
"NEK5",45,46,26,39,4,14,11,4
"SLC35F4",6,13,15,18,3,3,8,1
"LRRC9",82,51,50,66,4,9,14,7
"COX8C",0,1,1,1,0,0,0,0
"GLDN",3,0,0,2,10,17,5,3
"GOLGA6A",7,12,18,13,0,0,0,0
"TMC3",27,50,24,35,3,10,7,1
"ZNF774",92,108,109,104,48,113,80,37
"FMN1",77,99,51,56,197,474,514,178
"C16orf96",77,80,34,48,3,1,2,1
"ZKSCAN2",486,536,569,684,99,242,311,95
"ATXN1L",1633,1780,1882,2089,224,623,626,181
"PKD1L3",11,15,7,10,1,3,5,2
"CD300E",1,0,0,0,0,0,0,0
"SMTNL2",1,11,5,7,0,2,1,1
"NACA2",46,76,34,40,5,5,10,2
"SLFN14",1,2,0,2,3,3,1,1
"LRRC37A11P",14,13,13,10,0,1,3,1
"STAC2",0,0,0,3,0,2,1,0
"ANKRD62",27,27,20,17,4,8,2,0
"VSTM2B",0,0,0,1,0,0,0,0
"ZNF850",440,446,495,567,9,43,32,10
"NCCRP1",3,1,0,4,0,1,1,0
"SYCN",0,1,0,0,0,0,0,0
"LEUTX",0,2,0,0,0,0,0,0
"ZNF404",126,104,93,112,0,0,1,0
"ZNF284",221,217,233,275,43,135,102,27
"C19orf81",20,35,16,11,15,31,26,11
"ZNF677",421,425,374,420,18,48,38,20
"RFPL4A",2,8,4,3,39,111,75,19
"ZSCAN5B",2,2,3,2,0,1,0,0
"ZSCAN22",463,614,465,558,120,383,330,92
"NANOS3",0,1,0,0,14,27,22,3
"PALM3",1,3,33,33,10,24,16,6
"RD3",0,0,0,0,0,0,0,1
"PRAMEF5",1,2,1,0,0,0,0,0
"HNRNPCL1",50,51,31,41,16,47,37,7
"PRAMEF9",0,1,1,0,0,0,0,0
"PRAMEF10",0,1,0,0,0,0,0,1
"CCDC18",1576,1535,1317,1453,745,1945,2138,729
"OR6F1",2,0,0,0,2,1,0,0
"OR14K1",0,0,0,2,2,2,3,0
"OR2W3",0,0,0,0,22,40,60,21
"OR2T8",0,0,0,0,3,4,11,5
"MYBPHL",0,1,1,2,0,0,0,0
"FCRL6",0,0,0,0,1,0,2,0
"KCNT2",1,3,0,0,3,4,2,1
"NBPF7P",12,16,12,16,3,12,8,2
"DYNLT4",21,31,16,15,7,20,9,4
"ARHGAP40",0,2,1,1,0,2,0,0
"RSPO4",48,110,59,59,0,0,0,0
"TGM6",8,7,4,7,0,0,0,0
"XKR7",0,0,2,0,0,0,0,0
"MSGN1",0,1,0,0,0,0,0,0
"CRACDL",34,57,6,6,6,16,5,1
"NOTO",0,0,2,1,1,2,0,1
"NCKAP5",61,60,22,32,78,192,183,63
"FOXI3",0,2,0,0,0,0,0,0
"CDKL4",1,0,6,4,9,27,37,15
"PRORSD1P",239,228,145,106,22,53,30,13
"SH3RF3",82,114,84,120,327,854,838,266
"GPR148",1,0,0,1,0,0,0,0
"DUBR",590,752,411,609,123,373,256,85
"LRRIQ4",5,2,0,2,8,17,10,5
"SAMD7",0,0,1,0,0,1,0,0
"AADACL2",0,0,0,0,3,6,2,1
"GPR149",3,3,0,1,0,0,1,0
"ZNF860",43,64,70,60,171,483,605,228
"TMPRSS7",1,0,1,0,2,10,10,2
"CD200R1L",4,1,2,2,0,0,0,1
"PAQR9",0,0,0,0,2,7,14,2
"COL6A4P1",0,0,1,0,1,2,0,0
"NMRAL2P",17,17,2,5,4,15,5,3
"RTP2",0,0,0,2,0,0,1,1
"ATP13A5",1,0,0,0,2,3,3,0
"LOC344967",12,20,7,11,9,41,23,6
"REELD1",0,6,1,5,1,4,2,0
"PRSS48",0,4,0,0,2,9,4,1
"SOWAHB",427,510,298,346,3,3,3,1
"LRIT3",8,22,13,8,1,3,1,1
"MSANTD1",135,238,161,199,9,16,16,6
"SLC10A6",2,1,2,1,0,0,4,1
"HSD17B13",0,0,2,5,1,3,1,2
"PFN3",0,0,3,0,0,0,0,0
"ZNF879",629,581,766,889,0,0,0,1
"PLCXD3",11,22,40,52,17,50,172,30
"IRGM",37,40,34,44,0,2,0,0
"FBLL1",21,34,14,24,0,2,2,2
"MCIDAS",12,16,15,38,9,43,13,7
"ACTBL2",0,0,0,0,2,7,4,0
"FAM174A",3943,4666,5876,6119,120,300,335,110
"MTX3",3881,3719,2835,3231,442,1161,853,308
"RSPH4A",14,26,13,36,4,13,11,2
"ECT2L",6,16,4,17,3,3,4,2
"EYS",9,19,7,10,14,40,51,20
"ZNF391",952,1089,819,1024,281,724,512,182
"ZFP57",2,1,5,6,0,6,4,0
"SEPTIN14",3,1,1,2,0,2,1,0
"MACC1",8,8,2,2,3,5,11,5
"OR2A12",0,1,0,0,0,0,0,0
"OR2A1",4,2,1,2,1,4,2,1
"MOGAT3",1,2,0,0,0,0,0,0
"GARIN1A",64,79,42,48,12,38,30,11
"KLRG2",7,13,0,1,15,17,4,1
"SLC10A5",23,32,16,33,6,11,17,7
"QRFP",51,55,31,23,2,16,19,6
"OR1J1",3,4,2,0,1,0,0,0
"OR1B1",0,0,0,0,0,0,1,0
"KIF24",1160,1414,1092,1257,165,463,407,143
"IGFBPL1",5,12,5,6,38,129,75,36
"CAVIN4",8,8,5,10,17,21,38,10
"ZNF81",557,591,689,951,219,596,550,158
"ITIH6",15,7,12,9,1,0,0,0
"LANCL3",14,16,49,36,0,4,0,0
"MPC1L",0,0,0,2,0,2,1,0
"DCAF8L2",2,0,0,0,0,1,0,0
"SOWAHD",13,15,8,15,0,2,0,1
"OR13H1",0,2,2,2,0,0,0,0
"CCDC160",6,12,16,24,4,16,7,2
"DGAT2L6",1,0,0,0,0,0,0,1
"RAB41",25,28,16,29,2,11,10,1
"ARSH",17,7,0,0,0,0,0,0
"MAGEB5",2,3,0,3,0,0,0,0
"CENPVL3",5,4,9,10,23,44,30,7
"SNORD64",1,1,1,3,1,2,1,1
"TUBB8",10,10,10,10,12,27,23,7
"SOX2-OT",4,7,3,4,1,6,9,0
"ECEL1P2",0,3,1,0,0,0,0,0
"USP32P3",152,192,170,178,14,41,48,18
"LRRTM1",0,0,1,0,0,0,0,0
"LRRTM3",0,1,0,0,1,1,0,0
"CATSPER3",25,27,25,14,6,17,16,5
"TUBB2B",358,700,377,408,113,298,259,93
"SLC35B2",1584,2262,1990,2307,867,2175,1738,710
"SERINC2",1889,2979,3246,3626,201,489,689,292
"NME9",116,167,204,213,42,127,109,53
"OTOP3",0,0,0,0,0,0,1,0
"C6orf52",63,111,64,71,22,53,28,14
"PWARSN",237,215,267,332,38,94,104,34
"TBX10",82,108,21,30,0,4,1,0
"GATD1",1121,1501,1150,1345,241,573,425,201
"AMIGO2",17,27,13,13,62,164,195,50
"EP400P1",213,234,163,160,19,28,22,6
"TMEM255B",41,72,60,58,53,157,190,64
"LINC00442",4,16,6,5,0,0,0,0
"RBPMS2",79,127,274,225,23,61,56,10
"ANKDD1A",92,148,74,115,5,25,9,4
"ARPIN",1532,2044,1351,1307,335,870,524,215
"LINC01193",2,2,4,7,0,0,0,0
"CLEC18A",14,26,14,10,2,9,7,1
"CTU2",254,424,200,258,119,268,89,44
"SKA2",4394,4712,3309,3909,1913,5597,6864,2122
"CCDC144CP",85,75,73,85,12,36,29,5
"MCRIP1",164,506,138,153,201,390,184,103
"SELENOV",1,0,0,0,0,0,0,0
"ZNF530",247,258,211,221,108,303,232,101
"SHISAL2A",10,14,11,24,0,0,0,0
"FAM131C",1,10,4,8,19,31,47,19
"MIR3667HG",9,9,5,2,0,0,1,0
"GEN1",1091,926,646,783,457,1130,1083,373
"FTCDNL1",464,535,257,287,21,72,33,11
"SPATA3-AS1",41,78,30,16,1,15,8,2
"WDR53",803,899,613,690,102,247,182,69
"LNP1",279,271,167,170,129,313,306,79
"CFAP100",1,0,0,1,0,1,0,0
"NPHP3-AS1",8,9,5,7,3,2,5,1
"TPRXL",1,1,1,2,0,0,0,0
"ANKRD18DP",0,0,0,0,6,2,6,3
"FAM86EP",313,418,179,173,51,120,58,25
"SLC6A18",1,0,1,0,0,0,0,0
"NIPAL4",0,0,0,0,23,58,34,10
"NUP43",2086,2529,1968,2243,361,919,771,235
"ZNF713",157,201,190,232,30,74,165,40
"LINC00265",35,86,40,60,20,57,51,16
"WDR86",85,132,52,78,18,36,32,12
"GJC3",13,32,12,17,0,3,0,0
"DPY19L2P2",39,46,11,12,58,144,170,72
"LOC349160",0,0,0,0,1,0,0,0
"LINC00965",6,4,7,6,0,1,0,0
"FOXD4L4",18,25,28,41,1,4,1,0
"TLR8-AS1",0,0,0,0,0,0,3,0
"NMNAT3",146,161,101,112,41,122,67,35
"PLET1",0,0,0,1,0,3,1,0
"RTN4RL2",317,562,420,400,25,48,358,97
"GPR142",0,1,2,0,1,1,0,0
"GYG2P1",0,4,2,3,0,1,0,0
"DNAAF3",103,108,165,182,51,125,135,49
"CASTOR3P",710,739,1184,1192,40,102,74,33
"HCG26",2,10,4,2,2,0,1,0
"HLA-V",7,14,13,13,20,45,179,72
"HCP5B",0,0,0,3,2,3,4,2
"C6orf58",1,0,0,0,1,5,0,2
"ZNF429",1658,1822,1448,1684,4,14,7,5
"RAET1G",29,42,15,14,14,44,32,9
"RILPL1",650,879,640,716,69,186,117,46
"LCE1A",0,0,0,1,0,0,0,0
"LCE1B",2,3,1,1,0,0,0,0
"LCE1C",0,0,0,0,0,0,1,0
"LCE1E",0,0,3,1,0,0,6,2
"LCE2A",0,0,0,0,0,1,0,0
"TBC1D26",0,1,3,1,0,1,0,0
"TAS2R42",1,0,0,0,0,0,0,0
"ZACN",251,482,382,400,20,65,48,26
"SLCO4C1",0,0,1,2,0,0,0,0
"KAAG1",0,0,0,0,0,0,1,0
"PADI6",0,1,0,0,0,0,0,0
"ZNF445",1749,2047,1716,1887,343,818,620,204
"RGSL1",8,6,0,2,0,0,0,0
"ANKRD37",169,195,439,489,18,34,170,57
"SPATA12",2,1,6,2,20,51,42,29
"GPR141",0,0,0,0,6,12,3,0
"ZNF233",407,413,237,260,19,47,33,7
"TICAM2",122,138,84,101,50,139,183,68
"POLN",92,103,157,153,25,63,87,32
"BMP8A",145,160,105,137,12,27,27,7
"VCY1B",334,754,265,343,0,0,0,0
"BPIFB3",0,1,0,0,0,0,0,0
"PCNAP1",0,0,0,0,0,0,1,1
"PEG13",1,1,0,0,0,1,0,0
"MRPL42P5",36,41,24,27,4,10,11,5
"KCNIP4-IT1",0,0,0,0,1,1,1,0
"RFLNB",862,1082,1028,1100,188,454,503,169
"IRF2BP2",3555,4234,4036,4294,330,967,999,392
"ZBTB41",1824,1750,2066,2475,150,385,499,139
"FKBP9P1",98,161,115,124,53,129,202,68
"CYCSP52",6,3,7,3,0,9,3,1
"TMPRSS9",29,61,19,35,5,22,4,4
"GLT6D1",0,0,3,0,0,0,0,0
"PRAC2",538,603,641,736,163,454,351,141
"GSTK1",833,1697,601,681,271,595,326,180
"USP50",15,23,15,17,8,20,17,7
"USP41P",44,59,25,37,11,15,6,2
"H1-9P",0,0,0,2,0,0,0,0
"DND1",369,410,360,426,51,145,122,34
"FBXW10B",72,70,39,56,27,68,51,23
"NDUFS7",575,1020,558,691,135,304,142,57
"PTCHD3",0,2,0,0,0,1,1,0
"NHLRC2",2081,2004,1823,2117,316,1065,729,234
"GALNT18",1203,1512,1570,1799,471,1137,1834,649
"NCR3LG1",671,734,449,582,33,91,53,19
"LINC02716",0,0,1,0,0,0,1,0
"FAM111B",12130,11468,6128,8077,798,2215,2318,643
"TMEM179B",1371,2144,1693,1859,347,982,836,354
"TBC1D10C",165,199,95,108,1,1,1,0
"DNAJB13",11,5,1,2,0,3,0,0
"LOC374443",138,165,146,168,27,89,54,20
"PTPRQ",11,6,4,2,0,1,1,1
"C12orf42",0,4,2,3,11,21,21,5
"TPTE2P6",4,2,1,0,0,8,0,1
"ASPG",21,38,26,42,1,9,2,2
"TEX9",391,392,283,255,45,130,80,36
"GOLGA6L5P",96,128,177,177,7,16,13,6
"KIF7",87,143,98,157,30,83,60,23
"ZNF710",622,801,516,660,189,369,349,108
"HDDC3",748,1073,478,573,90,206,74,39
"WASH3P",438,771,616,614,86,221,123,67
"SPMIP8",3,0,0,0,0,0,0,0
"SPEM1",0,0,0,1,0,0,0,0
"EFCAB5",39,62,85,95,11,19,18,5
"LRRC37A3",344,401,252,298,60,171,127,38
"ANKRD30B",2,2,3,3,0,2,2,1
"CCDC178",3,8,2,1,0,0,1,0
"ATP9B",466,528,474,531,88,214,248,77
"PEAK3",4,4,3,2,1,3,4,0
"HSD11B1L",101,162,178,141,9,21,12,2
"SAXO5",156,214,151,132,4,15,2,0
"ZNF699",259,225,246,318,133,350,279,111
"TMEM205",1615,3187,1506,1768,551,1276,689,317
"YJEFN3",953,1191,613,648,24,56,18,15
"SBSN",15,23,56,25,3,18,12,1
"ZNF829",1223,1181,816,987,0,0,0,0
"ZNF568",601,662,742,791,0,0,0,0
"B3GNT8",6,1,9,2,0,4,1,0
"IGFL1",0,0,0,1,0,0,0,0
"ZSWIM9",360,466,353,327,14,38,17,2
"ZNF773",493,542,494,537,74,170,173,62
"DRAXIN",5,9,42,31,23,83,118,48
"SPATA21",972,1444,1072,1209,206,540,463,167
"SVBP",256,349,358,353,48,131,145,48
"TEX38",14,7,15,8,3,2,0,2
"MROH7",6,14,5,4,0,0,0,1
"MIGA1",2632,2460,1933,2184,263,633,594,202
"NEXN-AS1",2,2,11,12,16,39,35,9
"PEAR1",16,24,14,21,416,1064,1517,603
"SFT2D2",2041,2330,2397,2766,335,1023,919,323
"MIA3",30477,32749,32350,36394,676,2014,1845,585
"STUM",149,163,240,282,0,13,11,1
"FAM89A",173,212,162,166,59,185,117,56
"PI4KAP2",418,603,581,647,83,212,210,63
"PFN4",83,100,60,92,5,16,10,7
"FAM228B",299,393,171,191,59,202,120,53
"ANKRD36",505,469,558,553,401,1080,1021,331
"WASH2P",588,998,835,906,101,280,150,65
"RBM43",151,191,134,167,89,324,299,123
"LINC01116",0,0,0,0,69,208,257,86
"CERKL",0,1,1,0,17,32,45,11
"CATIP",11,32,11,21,0,2,0,1
"RBM44",12,7,22,13,14,25,37,23
"AQP12A",0,0,0,1,0,0,0,0
"LHFPL4",5,2,0,1,0,0,0,0
"TOPAZ1",0,1,2,0,0,0,3,0
"C3orf62",450,524,427,501,18,54,30,14
"STIMATE",583,892,696,761,189,418,414,136
"NRROS",3,2,5,2,0,0,0,0
"C5orf34",635,589,496,570,160,373,366,133
"MAST4",948,1373,748,967,184,508,950,315
"SIMC1",982,1245,1047,1054,190,570,471,153
"GUSBP4",272,294,350,385,29,85,51,23
"GJB7",0,1,0,2,1,2,2,1
"VWC2",0,0,0,0,0,1,0,0
"TRIM73",38,61,51,56,2,1,3,0
"NAT16",11,16,28,53,3,15,10,5
"SLC26A5",143,165,91,102,18,67,67,23
"LHFPL3",0,0,0,1,0,0,0,0
"KCP",36,69,58,57,0,4,2,0
"SPATC1",160,190,168,150,2,1,1,0
"WASH5P",246,336,388,359,45,111,92,35
"ENHO",40,33,42,44,45,93,38,24
"AQP7P1",2,3,4,1,2,8,3,2
"PTAR1",2519,2560,2189,2502,746,2077,1917,666
"ERCC6L2",907,1010,917,1112,245,720,798,237
"SWI5",1264,1820,1058,1075,179,506,343,127
"C9orf50",2,1,0,3,2,2,3,0
"PNPLA7",616,857,500,574,1,8,3,1
"AGRN",2472,3338,3447,3910,680,1701,1797,674
"CYSRT1",168,238,149,188,3,9,7,1
"RAB15",1482,2112,1810,1915,776,2267,2109,724
"SLC27A1",593,1063,737,817,91,206,116,55
"RPS10P7",329,486,257,284,28,74,70,26
"SDC4P",0,0,0,0,0,0,0,1
"ZC3H6",468,428,602,481,131,328,283,121
"KLHL30",1,0,1,1,0,0,0,0
"PRSS45P",0,2,0,0,0,0,0,0
"USP17L2",0,0,3,0,0,1,0,0
"CA13",152,158,198,250,52,127,178,47
"ENTPD8",11,18,9,21,1,5,6,4
"TRIM74",606,814,637,761,72,212,126,42
"RN7SL2",441,680,642,941,92887,385874,334992,120314
"RN7SL3",211,239,289,428,127500,490559,447507,157335
"CENPS",679,755,514,606,50,121,101,26
"LINC-PINT",259,208,494,607,78,221,213,72
"CATSPER4",0,2,0,1,0,0,0,0
"PICSAR",0,0,3,4,0,0,0,0
"COL18A1-AS1",1,0,0,0,3,3,1,0
"MIR381HG",0,0,0,0,0,0,1,0
"NHLRC1",19,17,11,16,9,20,10,5
"RNF148",12,8,11,8,1,0,3,0
"MALAT1",30677,41582,53094,53584,3531,10206,10684,3190
"RNF138P1",106,69,138,177,43,100,107,27
"PSMA3-AS1",2679,3501,3299,3471,733,2030,2614,751
"LINC01181",1,0,0,0,0,1,0,0
"CHKB-CPT1B",439,580,640,729,95,228,218,86
"GRASLND",0,2,3,2,8,9,10,6
"ZFP91-CNTF",1010,1083,1325,1501,132,369,315,92
"KCTD8",0,0,0,0,7,24,25,8
"KCTD4",0,2,0,9,3,3,2,2
"SAP30L-AS1",141,153,77,76,67,216,113,36
"IL31",0,4,0,1,0,0,0,0
"KRTAP10-1",0,1,0,0,0,0,0,0
"KRTAP10-2",0,1,0,1,0,0,0,0
"KRTAP10-5",0,1,0,0,0,0,0,0
"KRTAP10-3",0,1,0,0,0,0,0,0
"AMIGO3",151,218,248,277,26,56,38,11
"MRGPRG",0,0,3,0,0,0,0,0
"SLC6A10P",7,15,24,24,3,7,12,3
"ZNF582-DT",247,274,252,311,0,0,0,0
"ZKSCAN4",221,301,311,319,64,163,129,54
"GUSBP2",229,287,266,276,18,30,21,9
"LINC00533",1,2,0,0,2,2,1,1
"SNHG5",320,458,368,428,35,79,74,30
"SUMO4",2,7,3,0,4,4,0,1
"CENPW",466,541,335,449,158,495,410,171
"MTCL3",16,22,5,10,21,58,62,23
"LINC00222",4,0,0,0,1,0,1,0
"CEP85L",378,393,639,686,190,610,857,238
"SLC7A5P2",49,59,36,57,26,68,50,26
"C6orf120",3107,3226,2997,3283,202,542,430,179
"KRTAP5-1",271,339,195,200,0,8,1,0
"KRTAP5-4",0,0,0,1,0,0,0,0
"KRTAP5-10",2,1,4,0,0,0,1,0
"VN1R10P",0,1,0,0,0,0,0,0
"NSUN4",1640,1915,1271,1671,162,432,280,126
"THEMIS",0,0,1,1,0,0,0,0
"RASL11A",24,27,20,26,29,83,90,23
"GPR153",76,140,408,391,299,759,902,315
"PEDS1",2152,3295,3290,3313,971,2817,4079,1320
"PEDS1-UBE2V1",5203,7085,5049,5356,1974,5706,6411,2292
"TPTEP1",0,0,0,0,1,2,4,1
"ILDR2",79,76,23,33,158,428,307,107
"SLC22A25",6,3,2,7,0,0,0,0
"FGF7P6",214,266,153,182,12,32,25,8
"SKIDA1",15,20,22,20,13,31,17,5
"FAM238C",17,18,26,37,0,1,1,0
"LRRC37A6P",16,9,17,33,2,7,8,4
"WASHC2A",3223,3927,2970,3605,484,1302,834,248
"SH2D4B",3,3,1,1,0,0,0,0
"SLC16A12",4,0,1,0,10,30,24,9
"CC2D2B",71,87,59,70,11,27,10,8
"ENO4",1202,1274,522,568,26,88,91,25
"ARMS2",0,1,0,0,1,2,0,1
"TEX36",0,0,0,1,0,1,0,1
"C10orf143",105,111,101,90,17,24,17,6
"IFITM5",1,0,0,2,0,1,0,0
"FAM99A",0,0,0,0,0,0,1,0
"OR56B1",0,0,1,0,0,0,0,0
"GVINP1",26,25,14,21,1,14,10,4
"INSC",0,2,1,3,8,19,23,2
"FIBIN",6,17,6,11,0,2,1,0
"C11orf96",0,2,0,1,3,1,4,1
"SLC22A10",112,193,158,187,0,1,0,0
"SPDYC",0,3,0,0,1,6,6,0
"LIPT2",178,177,189,248,24,50,76,30
"VSTM5",2,5,1,1,16,32,22,12
"LINC02764",0,1,0,0,0,0,0,0
"CLEC2A",10,10,21,33,0,0,0,0
"CLEC12B",2,0,3,4,0,0,1,0
"RPL13AP20",3042,4596,2373,2702,825,1948,1829,617
"REP15",20,32,35,41,13,28,24,8
"CCDC184",4,24,44,41,0,1,0,1
"C12orf75",458,756,451,536,183,492,583,178
"CFAP73",148,238,123,155,20,42,28,6
"TMEM233",0,0,0,0,2,1,2,0
"KMT5A",3976,4664,3628,4172,253,636,478,156
"LINC00944",13,5,4,4,26,84,76,20
"C1QTNF9B",47,64,43,60,4,11,9,3
"SHISA2",15,18,22,34,111,332,139,37
"NHLRC3",1197,1402,994,1111,206,608,494,205
"SERP2",1,1,0,6,0,0,0,0
"LINC01551",1,0,0,0,0,0,0,0
"TOMM20L",15,28,11,18,21,28,9,4
"SERPINA13P",0,0,0,0,1,0,0,0
"LINC01550",1,0,0,0,37,114,68,30
"RTL1",0,0,0,0,0,1,0,0
"TMEM179",297,486,346,383,0,0,0,0
"CCDC9B",1130,1466,2252,2504,337,907,864,342
"TNFAIP8L3",1,0,1,0,2,7,4,0
"INSYN1",7,7,10,14,14,40,14,8
"GOLGA2P7",862,1146,1545,1765,78,186,164,55
"UBE2Q2P1",56,49,92,78,20,49,42,9
"SPATA41",72,119,46,43,8,15,9,3
"PRR25",2,2,1,2,1,0,0,0
"SBK1",466,653,1545,1648,27,55,55,16
"LOC388242",1,3,1,3,2,4,2,4
"C16orf87",1100,1227,1231,1260,119,284,206,79
"LOC388282",0,0,0,1,4,9,7,2
"C16orf86",31,44,43,49,8,10,6,3
"GLTPD2",55,83,33,64,5,13,3,4
"INCA1",200,247,177,183,8,24,13,3
"SCIMP",1,1,4,2,3,8,6,4
"C17orf100",161,238,204,222,15,54,22,9
"SPDYE4",0,1,1,0,0,0,0,0
"TMEM220",34,34,28,23,23,34,24,10
"LRRC75A",2933,5598,2127,2329,165,492,345,130
"TMIGD1",0,1,0,0,0,0,0,0
"SPMAP1",0,0,2,0,0,1,0,0
"LINC00671",0,1,0,1,0,0,0,0
"DNAAF19",143,202,195,285,27,60,46,14
"RPRML",2,9,6,5,0,2,4,3
"YPEL2",913,971,889,839,64,169,187,61
"LINC01999",0,1,0,0,1,0,0,0
"LINC02875",0,0,0,1,3,4,8,3
"BTBD17",0,2,1,0,1,1,0,0
"PVALEF",0,0,2,0,0,0,0,0
"LOC388436",0,0,0,0,2,2,4,3
"LINC01904",0,0,0,0,1,0,0,0
"POTEC",2,4,6,6,0,1,0,0
"LYPLA2P2",5,7,7,8,1,9,5,1
"ZNF788P",30,16,8,12,37,94,59,22
"CLEC17A",1,0,0,2,0,0,0,0
"CYP4F24P",0,2,6,3,0,0,0,0
"ZNF728",954,851,737,848,0,1,1,0
"RPSA2",3169,6116,2609,2636,822,2036,2207,849
"RGS9BP",57,106,75,70,1,2,1,1
"KRTDAP",0,4,3,0,0,1,2,0
"ZNF790",527,632,963,976,0,0,2,0
"CEACAM22P",5,8,16,10,0,0,0,0
"CEACAM16",0,0,0,0,0,3,2,0
"BLOC1S3",284,428,277,304,43,131,62,20
"MEIOSIN",2,0,1,2,1,0,0,0
"IGFL3",0,0,1,0,1,2,3,1
"ZNF808",921,817,838,962,330,904,797,305
"ZNF888",724,818,475,540,170,489,310,129
"ZNF761",1126,1259,1115,1264,117,328,259,91
"TMEM238",133,210,129,130,17,38,22,5
"ZNF470",1193,1180,2915,3485,0,3,1,0
"ZNF749",449,408,493,592,163,465,399,142
"ZNF324B",153,251,190,216,51,149,61,27
